UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
MG,Alfenas,310160,3101607,MG,Alfenas,"-21,4256","-45,9477",Região Sudeste,73774,Médio,0,0,0,0,1168,52,0,0,0,265,2,0,0,2,0
ES,Alfredo Chaves,320030,3200300,ES,Alfredo Chaves,"-20,6396","-40,7543",Região Sudeste,13955,Pequeno I,0,0,0,0,0,1,0,5,0,0,16,0,0,0,0
SP,Alfredo Marcondes,350080,3500808,SP,Alfredo Marcondes,"-21,9527","-51,414",Região Sudeste,3891,Pequeno I,0,0,0,0,160,1,0,0,0,11,0,0,0,0,0
MG,Alfredo Vasconcelos,310163,3101631,MG,Alfredo Vasconcelos,"-21,1535","-43,7718",Região Sudeste,6075,Pequeno I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC,Alfredo Wagner,420070,4200705,SC,Alfredo Wagner,"-27,7001","-49,3273",Região Sul,9410,Pequeno I,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PB,Algodão de Jandaíra,250057,2500577,PB,Algodão de Jandaíra,"-6,89292","-36,0129",Região Nordeste,2366,Pequeno I,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
PB,Alhandra,250060,2500601,PB,Alhandra,"-7,42977","-34,9057",Região Nordeste,18007,Pequeno I,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
PE,Aliança,260070,2600708,PE,Aliança,"-7,60398","-35,2227",Região Nordeste,37415,Pequeno II,0,0,5,0,0,6,0,0,0,3,1,0,0,0,0
TO,Aliança do Tocantins,170035,1700350,TO,Aliança do Tocantins,"-11,3056","-48,9361",Região Norte,5671,Pequeno I,0,0,0,0,5,1,0,0,0,29,0,0,0,0,0
BA,Almadina,290090,2900900,BA,Almadina,"-14,7089","-39,6415",Região Nordeste,6357,Pequeno I,0,0,3,0,47,0,0,0,0,2,0,0,0,0,0
TO,Almas,170040,1700400,TO,Almas,"-11,5706","-47,1792",Região Norte,7586,Pequeno I,0,0,6,0,1,0,0,0,0,1,3,0,0,0,0
PA,Almeirim,150050,1500503,PA,Almeirim,"-1,52904","-52,5788",Região Norte,33614,Pequeno II,0,0,28,0,0,0,0,0,0,124,0,0,0,0,0
MG,Almenara,310170,3101706,MG,Almenara,"-16,1785","-40,6942",Região Sudeste,38775,Pequeno II,0,1,30,0,149,2,0,0,0,342,3,0,0,0,0
RN,Almino Afonso,240060,2400604,RN,Almino Afonso,"-6,1475","-37,7636",Região Nordeste,4871,Pequeno I,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PR,Almirante Tamandaré,410040,4100400,PR,Almirante Tamandaré,"-25,3188","-49,3037",Região Sul,103204,Grande,0,0,0,0,5,48,0,3,0,202,0,0,0,0,0
RS,Almirante Tamandaré do Sul,430047,4300471,RS,Almirante Tamandaré do Sul,"-28,1149","-52,9142",Região Sul,2067,Pequeno I,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
GO,Aloândia,520050,5200506,GO,Aloândia,"-17,7292","-49,4769",Região Centro-Oeste,2051,Pequeno I,0,0,0,0,15,2,0,0,0,3,0,0,0,0,0
MG,Alpercata,310180,3101805,MG,Alpercata,"-18,974","-41,97",Região Sudeste,7172,Pequeno I,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0
RS,Alpestre,430050,4300505,RS,Alpestre,"-27,2502","-53,0341",Região Sul,8027,Pequeno I,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0
MG,Alpinópolis,310190,3101904,MG,Alpinópolis,"-20,8631","-46,3878",Região Sudeste,18488,Pequeno I,0,0,0,0,15,0,0,0,0,4,2,0,0,1,0
MT,Alta Floresta,510025,5100250,MT,Alta Floresta,"-9,86674","-56,0867",Região Centro-Oeste,49164,Pequeno II,0,0,36,0,868,72,0,0,0,27,20,0,0,0,0
